URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,132,45,0.49152542095183377,0.10338785040689961,14.525423728813559,68.16588785046729,33.07652463171234,9.67231638418079,1167,1712,3.142523364485981,2,7.890186915887851
bctech2012,https://insights.blackcoffer.com/gpt-ocr-api/,19,6,0.5199999792000009,0.07396449682259025,9.307692307692308,54.437869822485204,25.498224852071004,6.5,184,338,2.9940828402366866,1,7.893491124260355
bctech2013,https://insights.blackcoffer.com/realtime-kibana-dashboard-for-a-financial-tech-firm/,17,10,0.2592592496570648,0.06474820128357746,16.742857142857144,52.99760191846523,27.89618362452895,11.914285714285715,221,417,2.8489208633093526,1,7.3405275779376495
bctech2014,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,11,6,0.2941176297577865,0.05044510370787803,8.79245283018868,57.566765578635014,26.54368736352948,6.3584905660377355,194,337,2.9465875370919883,1,7.489614243323442
bctech2015,https://insights.blackcoffer.com/design-and-develop-powershell-script/,15,3,0.6666666296296316,0.04986149570675486,19.896551724137932,52.63157894736842,29.01125226860254,12.448275862068966,190,361,2.903047091412742,1,7.357340720221607
bctech2016,https://insights.blackcoffer.com/golden-record-a-knowledge-graph-database-approach-to-unfold-discovery-using-neo4j/,9,11,-0.09999999500000024,0.060975609570196314,8.471698113207546,56.40243902439024,25.949654855039114,6.188679245283019,185,328,2.8810975609756095,1,7.408536585365853
bctech2017,https://insights.blackcoffer.com/an-etl-solution-for-currency-data-to-google-big-query/,6,4,0.19999998000000202,0.03999999984,11.689655172413794,49.6,24.515862068965518,8.620689655172415,124,250,2.728,1,7.212
bctech2018,https://insights.blackcoffer.com/etl-and-mlops-infrastructure-for-blockchain-analytics/,6,3,0.33333329629630043,0.0351562498626709,15.48,52.734375,27.285750000000004,10.24,135,256,2.80859375,1,7.2734375
bctech2019,https://insights.blackcoffer.com/ranking-customer-behaviours-for-business-strategy/,7,15,-0.36363634710743875,0.07382550310796811,18.03846153846154,52.348993288590606,28.154981930820863,11.461538461538462,156,298,2.721476510067114,1,6.959731543624161
bctech2020,https://insights.blackcoffer.com/end-to-end-tool-to-optimize-routing-and-planning-of-field-engineers-using-googles-cvrp-tw-algorithm/,20,9,0.37931033174791956,0.06170212752829335,24.448275862068964,62.97872340425532,34.97079970652972,16.20689655172414,296,470,3.117021276595745,4,7.729787234042553
bctech2021,https://insights.blackcoffer.com/automated-orthopedic-case-report-generation-harnessing-web-scraping-and-ai-integration/,26,10,0.44444443209876583,0.10256410227189715,9.30188679245283,59.82905982905983,27.652378648605065,6.622641509433962,210,351,3.0199430199430197,1,7.561253561253562
bctech2022,https://insights.blackcoffer.com/database-discovery-tool-using-openai/,18,8,0.3846153698224858,0.06004618923776862,20.0,51.73210161662818,28.69284064665127,12.735294117647058,224,433,2.7736720554272516,1,7.069284064665127
bctech2023,https://insights.blackcoffer.com/data-management-etl-and-data-automation/,16,4,0.5999999700000015,0.05586592163165944,29.1,52.79329608938548,32.75731843575419,17.9,189,358,2.7849162011173183,8,6.9804469273743015
bctech2024,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,26,11,0.4054053944485029,0.07805907156527622,25.75862068965517,57.17299578059072,33.17264658809835,16.344827586206897,271,474,2.888185654008439,11,7.4071729957805905
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,22,9,0.4193548251821024,0.06828193817559045,21.62162162162162,60.13215859030837,32.701512084772,12.27027027027027,273,454,2.951541850220264,24,7.295154185022026
bctech2026,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,33,6,0.6923076745562136,0.08297872322770485,21.236842105263158,52.97872340425533,29.686226203807394,12.368421052631579,249,470,2.8127659574468087,8,7.306382978723405
bctech2027,https://insights.blackcoffer.com/dockerize-the-aws-lambda-for-serverless-architecture/,19,4,0.6521738846880919,0.05180180168513108,17.022222222222222,50.22522522522522,26.898978978978977,9.866666666666667,223,444,2.6666666666666665,10,7.076576576576577
bctech2028,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,27,13,0.34999999125000025,0.07736943892191597,23.025641025641026,56.86653771760155,31.956871497297033,13.256410256410257,294,517,2.8568665377176017,1,7.1353965183752415
bctech2029,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,37,12,0.5102040712203251,0.09141791027720539,21.8,60.447761194029844,32.89910447761194,11.911111111111111,324,536,2.9347014925373136,23,7.507462686567164
bctech2030,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,24,20,0.09090908884297526,0.09544468525933908,23.4375,50.97613882863341,29.765455531453366,14.40625,235,461,2.7331887201735356,5,7.03470715835141
